商品标题,商品链接,售价,销量,宝贝评分,评价人数,平台,类目,优惠活动
宠物零食冻干鸡肉 500g 大袋装,https://example.com/p001,¥59.9,1.5万,4.8分,1.2万,淘宝,宠物零食,满300减30
宠物零食冻干鸭肉 500g 低脂,https://example.com/p002,63,8600,4.6,5300,淘宝,宠物零食,第二件半价
宠物零食冻干鹌鹑 200g 整只,https://example.com/p003,45.8,5200,4.9分,4800,拼多多,宠物零食,直播间专属价
狗狗零食鸡肉绕薯条 300g,https://example.com/p004,29.9,2.1万,4.5,1.8万,拼多多,宠物零食,新客立减10
宠物零食洁齿骨 250g 除口臭,https://example.com/p005,39.9,6800,4.7分,6100,淘宝,宠物零食,买二送一
宠物零食冻干鸡肉粒 100g 训练奖励,https://example.com/p006,19.9,3.4万,4.4分,2.9万,淘宝,宠物零食,
宠物零食冻干多春鱼 300g 补钙,https://example.com/p007,55,2300,4.3,1900,京东,宠物零食,限时直降20
宠物零食羊奶酪粒 200g 美毛,https://example.com/p008,42,980,4.2分,760,拼多多,宠物零食,收藏加购送试吃
宠物零食牛肉粒 400g 高蛋白,https://example.com/p009,68,4100,4.8,3600,天猫,宠物零食,88VIP95折
宠物零食冻干三文鱼 200g 亮毛,https://example.com/p010,¥78,1500,4.9分,1300,天猫,宠物零食,满199减20
宠物零食鸡胸肉干 400g 手撕,https://example.com/p011,32.9,1.8万,4.6分,1.5万,淘宝,宠物零食,
宠物零食鸭肉干 350g 磨牙,https://example.com/p012,28,7200,4.5,6300,拼多多,宠物零食,百亿补贴
宠物零食冻干蛋黄 100g 美毛爆毛,https://example.com/p013,25.9,3900,4.7分,3200,淘宝,宠物零食,两件9折
宠物零食冻干牛肉 250g,https://example.com/p014,89,860,4.8分,700,京东,宠物零食,Plus会员价
宠物零食磨牙棒 20支装 幼犬,https://example.com/p015,16.9,5.6万,4.3分,,拼多多,宠物零食,
宠物零食冻干混合装 8口味 400g,https://example.com/p016,99,1200,4.9,1050,淘宝,宠物零食,礼盒装
宠物零食鸡肉软骨粒 150g 护关节,https://example.com/p017,36,2700,4.4分,2100,抖音,宠物零食,直播间秒杀
宠物零食冻干鸡小胸 180g,https://example.com/p018,22.5,9200,4.6,8100,抖音,宠物零食,粉丝专享
宠物零食海苔鸡肉卷 200g,https://example.com/p019,27.9,3300,4.5分,2800,淘宝,宠物零食,
宠物零食冻干猪肉 200g 高适口,https://example.com/p020,48,1600,4.7,1350,天猫,宠物零食,
宠物零食妙鲜包 85g*12 湿粮,https://example.com/p021,29.8,2.9万,4.2分,,京东,宠物零食,整箱优惠
宠物零食冻干肝脏 150g 补铁,https://example.com/p022,33,640,4.3分,520,拼多多,宠物零食,
宠物零食鸡肉干 500g 整鸡胸 全网最低价,https://example.com/p023,49.9,1.1万,4.1,,拼多多,宠物零食,冲量款
宠物零食驯鹿骨 300g 天然磨牙,https://example.com/p024,59,410,4.6分,350,淘宝,宠物零食,
宠物零食冻干羊肉 220g 低敏,https://example.com/p025,76,530,4.8分,440,天猫,宠物零食,
宠物零食牛肉绕香蕉 250g,https://example.com/p026,31.5,4800,4.4,3900,淘宝,宠物零食,拍下减5
宠物零食冻干鸡肉松 120g 拌粮,https://example.com/p027,18.9,7800,4.5分,6600,拼多多,宠物零食,
宠物零食鱿鱼丝 180g 海味,https://example.com/p028,26,1900,4.2分,1500,抖音,宠物零食,达人推荐
宠物零食鸭胸肉冻干 160g 销量第一,https://example.com/p029,44,2600,4.6,2200,淘宝,宠物零食,
宠物零食冻干禽类拼盘 350g,https://example.com/p030,66,740,4.7分,610,京东,宠物零食,自营物流
